mu,method,metric,p95,,,,????=200,????=400
200,DQN-EvoMTD,490.6036804,498.2779053,,,DQN-EvoMTD,490.6036804,794.4880173
400,DQN-EvoMTD,794.4880173,807.0132003,,,Robust-EvoMTD,469.7853318,755.4896712
200,Robust-EvoMTD,469.7853318,481.3873341,,,OpenMTD,613.9723656,889.7058642
400,Robust-EvoMTD,755.4896712,764.3015058,,,FastMove,442.5228164,714.1396609
200,No-MTD,666.5373497,683.6439697,,,CMDP-MOS,541.4167586,826.1667688
400,No-MTD,1008.983616,1022.150503,,,ID-HAM,559.6156938,850.9143832
200,OpenMTD,613.9723656,624.5192334,,,,,
400,OpenMTD,889.7058642,903.5110586,,,,,
200,FastMove,442.5228164,453.9455314,,,,,
400,FastMove,714.1396609,726.252094,,,,,
200,CMDP-MOS,541.4167586,553.0809448,,,,,
400,CMDP-MOS,826.1667688,837.7537818,,,,,
200,ID-HAM,559.6156938,570.8389924,,,,,
400,ID-HAM,850.9143832,864.5555747,,,,,
