mu,method,metric,p95
200,DQN-EvoMTD,512.111615706554,519.8739548882656
400,DQN-EvoMTD,833.1238496276404,838.7985435356719
200,Robust-EvoMTD,479.81259367201653,484.68459044272134
400,Robust-EvoMTD,782.4172924063511,787.040381839302
200,No-MTD,721.2488629001882,729.9841342980668
400,No-MTD,1104.091147866433,1112.353191316334
200,OpenMTD,612.8773922417253,618.0594492972665
400,OpenMTD,909.844004582478,918.2967550496958
200,FastMove,510.9859412943679,518.0105196054742
400,FastMove,831.9244938173636,835.9230707184331
200,CMDP-MOS,570.0379731580266,573.8045176509364
400,CMDP-MOS,882.0560064830464,889.5357200582431
200,ID-HAM,553.2676462323869,559.1474387890913
400,ID-HAM,849.5661139980078,856.5637275710484
