def_strategy,mu,attack_mode,n_attackers,n_targets,resp_time_ms_mean,resp_time_ms_p95,load_time_ms_mean,load_time_ms_p95,ASSC_ms_mean,AIC_ms_mean,NC_ms_mean,cost_total_ms_mean
GD2,200,static,1,1,532.7809310893398,536.5790059766715,553.2904655446698,555.1895029883357,240.0,175.0,167.41378019108924,1258.8713966340097
GD1,200,static,1,2,435.9725952604287,435.9725952604287,455.4362976302143,455.4362976302143,240.0,175.0,167.41378019108924,977.808892890643
GD2,200,static,1,3,396.85379025691265,396.85379025691265,419.393561795123,419.393561795123,240.0,175.0,167.41378019108924,873.8473520520357
GD3,200,dynamic,2,1,603.2473148635103,603.2473148635103,622.9836574317551,622.9836574317551,240.0,175.0,167.41378019108924,1424.9509722952655
GD2,200,dynamic,2,1,603.5321615219442,608.5997843339704,623.1260807609721,625.6598921669852,240.0,175.0,167.41378019108924,1425.3782422829163
GD3,200,static,1,1,526.6589380154576,526.6589380154576,550.2294690077288,550.2294690077288,240.0,175.0,167.41378019108924,1249.6884070231863
GD2,200,static,3,1,582.3235181462011,582.3235181462011,603.0617590731006,603.0617590731006,240.0,175.0,167.41378019108924,1358.1852772193017
GD1,200,static,3,1,582.6545100875956,582.6545100875956,603.2272550437978,603.2272550437978,240.0,175.0,167.41378019108924,1358.6817651313934
GD1,200,static,1,1,530.746954772227,530.746954772227,552.2734773861135,552.2734773861135,240.0,175.0,167.41378019108924,1255.8204321583405
GD3,400,static,1,1,815.3135179532695,815.3135179532695,852.5567589766348,852.5567589766348,240.0,175.0,167.41378019108924,1840.6702769299043
GD1,400,static,3,1,866.2279939552395,869.6604982418156,903.0139969776197,904.7302491209077,240.0,175.0,167.41378019108924,1942.0419909328593
GD3,400,dynamic,2,1,905.2998862361642,914.7021397831223,945.509943118082,950.2110698915611,240.0,175.0,167.41378019108924,2049.529829354246
GD3,400,static,3,1,856.0510659640981,867.6593294437704,897.9255329820489,903.7296647218851,240.0,175.0,167.41378019108924,1926.776598946147
GD1,400,dynamic,2,1,898.7184195332454,900.5135702463904,942.2192097666227,943.1167851231952,240.0,175.0,167.41378019108924,2039.6576292998682
GD2,400,static,1,1,808.4050873094004,808.4050873094004,849.1025436547002,849.1025436547002,240.0,175.0,167.41378019108924,1830.3076309641006
GD1,400,static,1,1,810.1387047304294,810.1387047304294,849.9693523652147,849.9693523652147,240.0,175.0,167.41378019108924,1832.9080570956442
GD3,600,dynamic,2,1,1397.2420307240914,1398.2840746346149,1461.9810153620456,1462.5020373173074,240.0,175.0,167.41378019108924,3057.9430460861367
GD1,600,static,1,1,1259.521535463477,1265.6408057714552,1322.6607677317384,1325.7204028857275,240.0,175.0,167.41378019108924,2754.9823031952155
GD2,600,static,1,1,1264.3387669391177,1266.0529069669738,1325.069383469559,1325.9264534834867,240.0,175.0,167.41378019108924,2762.2081504086764
GD1,600,dynamic,2,1,1403.5740656649475,1408.6301421886576,1465.1470328324738,1467.6750710943288,240.0,175.0,167.41378019108924,3067.441098497421
GD3,600,static,3,1,1301.882335825714,1301.882335825714,1368.841167912857,1368.841167912857,240.0,175.0,167.41378019108924,2843.523503738571
GD1,600,static,3,1,1317.875591154442,1317.875591154442,1376.837795577221,1376.837795577221,240.0,175.0,167.41378019108924,2867.513386731663
GD2,800,static,3,1,2224.250928999518,2230.976627115474,2303.0254644997585,2306.388313557737,240.0,175.0,167.41378019108924,4700.076393499277
GD3,800,static,3,1,2225.9056221438977,2230.958268203646,2303.8528110719485,2306.379134101823,240.0,175.0,167.41378019108924,4702.558433215847
GD1,800,static,1,1,2174.3396297170602,2179.6310926734045,2253.0698148585298,2255.715546336702,240.0,175.0,167.41378019108924,4600.20944457559
GD2,800,static,1,1,2164.8093649121647,2174.081951662276,2248.3046824560824,2252.9409758311376,240.0,175.0,167.41378019108924,4585.914047368247
GD1,800,dynamic,2,1,2398.130358636835,2400.4222555031442,2480.425179318417,2481.571127751572,240.0,175.0,167.41378019108924,5077.275537955253
GD1,800,static,3,1,2209.311217534948,2209.311217534948,2295.5556087674736,2295.5556087674736,240.0,175.0,167.41378019108924,4677.666826302421
GD2,800,dynamic,2,1,2412.0410279632424,2412.0410279632424,2487.380513981621,2487.380513981621,240.0,175.0,167.41378019108924,5098.141541944863
