t,state,attacker_action,defender_action,UD,UA,SAP,SAL,DC,ASSC,NC,AIC,AS_success,is_absorbing,power_W,q_vec,p_vec,td_loss,entropy
0,entry,destroy,iphop,3.8799521322746116,5.106619238518241,4.415967443598044,5.606619238518241,0.7360153113234325,0.3,0.1860153113234325,0.25,0,0,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
1,p2_s0,destroy,iphop,4.718474159819172,5.112891041198037,5.237660051446447,5.612891041198037,0.7360153113234325,0.3,0.1860153113234325,0.25,0,0,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
2,p2_s1,destroy,iphop,4.958219264520022,4.503426124253043,5.47604862730694,5.003426124253043,0.7360153113234325,0.3,0.1860153113234325,0.25,0,0,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
3,p2_s2,destroy,iphop,5.033286738049815,4.535047082597782,5.5664796492120505,5.035047082597782,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
4,p2_s3,destroy,iphop,5.1087966763714725,4.029124256399177,5.659948037601063,4.529124256399177,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
5,p2_s3,lateral,iphop,5.16324121969547,4.316560294470922,5.7184350165121645,4.966560294470923,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
6,p2_s3,destroy,iphop,5.426368230008364,4.209102477475549,5.967971851295775,4.709102477475549,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
7,p2_s3,destroy,iphop,4.926914891372512,4.266691330040487,5.449790470721568,4.766691330040487,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
8,p2_s3,destroy,iphop,5.0233769729323665,3.850578228408433,5.539605119323331,4.350578228408433,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
9,p2_s3,lateral,iphop,5.414870120302152,4.18172385282536,5.942643061920749,4.831723852825361,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
