iteration,DS1,DS2,DS3
0,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
1,0.9403128267760104,0.059633761218390494,5.341200558196535e-05
2,0.952051241032329,0.04785392226737677,9.483670053117579e-05
3,0.961450514177323,0.03838128149919664,0.00016820432022174146
4,0.9689149691848088,0.030786943823319212,0.00029808703668917166
5,0.9747627179646062,0.024709338716022693,0.0005279427029043001
6,0.9792163116326856,0.019849083904748595,0.0009346129433497868
7,0.9823845548379573,0.01596142545588512,0.0016539030200963239
8,0.9842280014285357,0.01284800693334738,0.0029255973194084474
9,0.9844646557853816,0.010355785465883283,0.005179558748735122
10,0.9825108637246484,0.008340284736918379,0.009148851538431495
11,0.9771598494048831,0.006705974405646933,0.01613417618949377
12,0.9662609362308988,0.005367887120536162,0.028371176648236622
13,0.9461116312898614,0.004256094330277191,0.04963227438438774
14,0.9106544752382218,0.003312802979566425,0.08603272171973603
15,0.8507585721336867,0.002491815918617337,0.14674961281182825
16,0.7547383633786231,0.0017621944624323226,0.24349943016561054
17,0.6129535146285968,0.0011177832729739527,0.3859288694593115
18,0.43011244035250323,0.000587968633463304,0.5692972370194076
19,0.24061651332228176,0.0002157663035276944,0.7591677203741906
20,0.09910288900899857,5.1905370652569616e-05,0.900845205620349
21,0.029875924023232983,6.8731816641995644e-06,0.9701172027951
22,0.007381450581195776,5.520273595764816e-07,0.9926179973914846
23,0.001689746929472315,3.558539627802676e-08,0.9983102174845507
24,0.0003781767991321048,2.193598885679115e-09,0.9996218210157145
25,8.399332607204922e-05,1.3647565051999736e-10,0.9999160064145849
26,1.857845181686554e-05,8.675500002648688e-12,0.9999814233271949
27,4.095822629214361e-06,5.64674296607472e-13,0.9999958781642703
28,9.001668835299057e-07,3.762897643842893e-14,0.9999994783701626
29,1.9722591787438026e-07,2.565544438917597e-15,0.9999942938287023
30,0.0,0.0,1.0
31,0.0,0.0,1.0
32,0.0,0.0,1.0
33,0.0,0.0,1.0
34,0.0,0.0,1.0
35,0.0,0.0,1.0
36,0.0,0.0,1.0
37,0.0,0.0,1.0
38,0.0,0.0,1.0
39,0.0,0.0,1.0
