iteration,AS1,AS2,AS3
0,1.0537791119349076e-16,0.7386552333639129,0.26134476663608713
1,1.0248143709287085e-16,0.7405590252452091,0.2594409747547909
2,9.96714702328541e-17,0.7424585833522442,0.2575414166477557
3,9.694366697579147e-17,0.7443529494473432,0.25564705055265663
4,9.429420299529682e-17,0.7462413314387213,0.25375866856127854
5,9.171968407015212e-17,0.748123083874234,0.2518769161257659
6,8.921706320112857e-17,0.7499976906555743,0.2500023093444254
7,8.678356305869068e-17,0.7518647526070505,0.24813524739294926
8,8.441660019922023e-17,0.7537239824814557,0.24627601751854425
9,8.211369992451914e-17,0.7555752145218476,0.2444247854781524
10,7.987240390240834e-17,0.7574184198814519,0.24258158011854816
11,7.769013392855669e-17,0.759253774335282,0.240746225664718
12,7.55639917353604e-17,0.7610817463210392,0.2389182536789609
13,7.349046040571626e-17,0.7629032717874504,0.2370967282125496
14,7.146494551034331e-17,0.7647200379041084,0.2352799620958916
15,6.948110468146442e-17,0.7665349237752057,0.2334650762247942
16,6.752997462226715e-17,0.7683526151311317,0.23164738486886816
17,6.559914415212266e-17,0.7701802733167811,0.22981972668321884
18,6.367283925404533e-17,0.772027750428426,0.22797224957157403
19,6.17348139322737e-17,0.773906125200211,0.22609387479978904
20,5.977614410577132e-17,0.7758229637062096,0.22417703629379038
21,5.780539896510547e-17,0.7777753630898623,0.2222246369101377
22,5.584901536986886e-17,0.7797483100344175,0.2202516899655825
23,5.393464521882582e-17,0.7817243043687604,0.21827569563123958
24,5.207695950801877e-17,0.7836929216771715,0.21630707832282856
25,5.027992257410173e-17,0.785650244063764,0.21434975593623604
26,4.854320045771963e-17,0.7875951129047669,0.21240488709523314
27,4.6865234057335506e-17,0.7895272141309494,0.21047278586905072
28,4.5244187139531575e-17,0.7914464653060077,0.20855353469399232
29,4.3678202910591395e-17,0.7933528414025902,0.20664715859740976
30,4.216545252855917e-17,0.7952463476395466,0.20475365236045334
31,4.07041725911956e-17,0.7971269815419161,0.20287301845808378
32,3.9292650438011483e-17,0.798994748640504,0.20100525135949582
33,3.792922882818681e-17,0.8008496561054986,0.19915034389450123
34,3.661230420867561e-17,0.8026917127226477,0.19730828727735217
35,3.5340325034143664e-17,0.8045209288692698,0.1954790711307301
36,3.411179013726753e-17,0.8063373164901138,0.1936626835098861
37,3.2925247147962506e-17,0.8081408890730817,0.19185911092691826
38,3.177929096014569e-17,0.8099316616248282,0.19006833837517165
39,3.067256224467735e-17,0.811709650646252,0.18829034935374792
