iteration,GD1,GD2,GD3,initial_mix,,GD1,GD2,GD3,,,GD1,GD2,GD3,
0,0.8,0.1,0.1,"0.8,0.1,0.1",0,0.1,0.8,0.1,"0.1,0.8,0.1",0,0.1,0.1,0.8,"0.1,0.1,0.8"
1,0.755984085,0.073275739,0.170740176,"0.8,0.1,0.1",1,0.1093536,0.705050634,0.185595766,"0.1,0.8,0.1",1,0.041128495,0.019906224,0.938965281,"0.1,0.1,0.8"
2,0.669119224,0.04946856,0.281412216,"0.8,0.1,0.1",2,0.110080068,0.56148003,0.328439902,"0.1,0.8,0.1",2,0.011828099,0.001549432,0.986622469,"0.1,0.1,0.8"
3,0.532178753,0.029067644,0.438753602,"0.8,0.1,0.1",3,0.095344435,0.369380443,0.535275122,"0.1,0.8,0.1",3,0.002916926,6.10E-05,0.997022034,"0.1,0.1,0.8"
4,0.356858926,0.013519548,0.629621526,"0.8,0.1,0.1",4,0.063601421,0.170249842,0.766148736,"0.1,0.8,0.1",4,0.000693037,2.01E-06,0.999304953,"0.1,0.1,0.8"
5,0.185916838,0.004297378,0.809785784,"0.8,0.1,0.1",5,0.028536241,0.041668746,0.929795013,"0.1,0.8,0.1",5,0.000162912,6.62E-08,0.999837022,"0.1,0.1,0.8"
6,0.070770608,0.000773259,0.928456134,"0.8,0.1,0.1",6,0.008461207,0.003957355,0.987581438,"0.1,0.8,0.1",6,3.81E-05,2.27E-09,0.999961893,"0.1,0.1,0.8"
7,0.020408451,6.97E-05,0.979521867,"0.8,0.1,0.1",7,0.002063821,0.000177526,0.99775864,"0.1,0.8,0.1",7,8.88E-06,8.16E-11,0.999991107,"0.1,0.1,0.8"
8,0.005068557,3.66E-06,0.994927897,"0.8,0.1,0.1",8,0.000484197,6.76E-06,0.999509227,"0.1,0.8,0.1",8,2.06E-06,3.07E-12,0.999998113,"0.1,0.1,0.8"
9,0.001195041,1.55E-07,0.998803111,"0.8,0.1,0.1",9,0.000112567,2.60E-07,0.999884564,"0.1,0.8,0.1",9,4.78E-07,1.21E-13,0.999996962,"0.1,0.1,0.8"
10,0.000265055,0,0.999734945,"0.8,0.1,0.1",10,7.10E-06,0,0.999992898,"0.1,0.8,0.1",10,0,0,1,"0.1,0.1,0.8"
11,6.11E-05,0,0.999938878,"0.8,0.1,0.1",11,1.64E-06,0,0.999998362,"0.1,0.8,0.1",11,0,0,1,"0.1,0.1,0.8"
12,1.40E-05,0,0.99998596,"0.8,0.1,0.1",12,3.77E-07,0,0.999999623,"0.1,0.8,0.1",12,0,0,1,"0.1,0.1,0.8"
13,3.21E-06,0,0.999996786,"0.8,0.1,0.1",13,8.63E-08,0,0.999999914,"0.1,0.8,0.1",13,0,0,1,"0.1,0.1,0.8"
14,7.34E-07,0,0.999999266,"0.8,0.1,0.1",14,1.97E-08,0,0.99999998,"0.1,0.8,0.1",14,0,0,1,"0.1,0.1,0.8"
15,1.67E-07,0,0.999999833,"0.8,0.1,0.1",15,4.49E-09,0,0.999999996,"0.1,0.8,0.1",15,0,0,1,"0.1,0.1,0.8"
16,3.78E-08,0,0.999999963,"0.8,0.1,0.1",16,1.02E-09,0,0.999999999,"0.1,0.8,0.1",16,0,0,1,"0.1,0.1,0.8"
17,8.55E-09,0,0.999999986,"0.8,0.1,0.1",17,2.30E-10,0,1.000000005,"0.1,0.8,0.1",17,0,0,1,"0.1,0.1,0.8"
18,1.93E-09,0,1.00000008,"0.8,0.1,0.1",18,5.20E-11,0,0.99999993,"0.1,0.8,0.1",18,0,0,1,"0.1,0.1,0.8"
19,4.33E-10,0,0.999998812,"0.8,0.1,0.1",19,1.17E-11,0,1.000001022,"0.1,0.8,0.1",19,0,0,1,"0.1,0.1,0.8"
20,0,0,1,"0.8,0.1,0.1",20,4.96E-06,4.96E-06,0.999990086,"0.1,0.8,0.1",20,0,0,1,"0.1,0.1,0.8"
21,0,0,1,"0.8,0.1,0.1",21,1.11E-06,2.88E-07,0.999998604,"0.1,0.8,0.1",21,0,0,1,"0.1,0.1,0.8"
22,0,0,1,"0.8,0.1,0.1",22,2.47E-07,1.72E-08,0.999999736,"0.1,0.8,0.1",22,0,0,1,"0.1,0.1,0.8"
23,0,0,1,"0.8,0.1,0.1",23,5.48E-08,1.06E-09,0.999999944,"0.1,0.8,0.1",23,0,0,1,"0.1,0.1,0.8"
24,0,0,1,"0.8,0.1,0.1",24,1.21E-08,6.64E-11,0.999999988,"0.1,0.8,0.1",24,0,0,1,"0.1,0.1,0.8"
