iteration,deviation,omega
0,1.3333333196078188,0.2
1,1.1120199405696733,0.2
2,0.8675235912884103,0.2
3,0.6256317720364746,0.2
4,0.4151399451282749,0.2
5,0.25501799454233465,0.2
6,0.14736010554695878,0.2
7,0.08170442756088053,0.2
8,0.0442316839263253,0.2
9,0.023666865375722566,0.2
10,0.012608759017827395,0.2
11,0.006715748014000803,0.2
12,0.003583578220150871,0.2
13,0.001917686026954964,0.2
14,0.001029589103883287,0.2
15,0.0005546700782346923,0.2
16,0.00029983684635432456,0.2
17,0.00016261851883836697,0.2
18,8.848516503982953e-05,0.2
19,4.827687763754307e-05,0.2
20,2.646513919947373e-05,0.2
21,1.4403257507982147e-05,0.2
22,8.273620411351296e-06,0.2
23,3.5452810732742477e-06,0.2
24,4.908809290480787e-06,0.2
25,7.220652055573689e-06,0.2
26,2.880945784340874e-05,0.2
27,1.5656927655642962e-05,0.2
28,8.53829538872317e-06,0.2
29,4.670480842736795e-06,0.2
30,2.5610490961813107e-06,0.2
31,1.406411620783315e-06,0.2
32,7.721665562475487e-07,0.2
33,4.22582417498725e-07,0.2
34,2.2925808642086793e-07,0.2
35,1.220067443260807e-07,0.2
36,6.231179209036438e-08,0.2
37,2.901283039313552e-08,0.2
38,1.030285290729883e-08,0.2
39,0.0,0.2
