t,UD,SAL
0,-14.180866004594137,3.941385285229894
1,-14.192707990218324,3.918090699128716
2,-14.18333138121237,3.9579717893641067
3,-14.190763964162564,3.9478679282780256
4,-14.184866187601855,3.9773416226752474
5,-14.189550794434503,3.975402526102261
6,-14.185826226940138,3.9983707892108917
7,-14.188790225670136,4.001496739717806
8,-14.186429413994492,4.020359448410774
9,-14.188311362541228,4.026624835589598
10,-14.186809952205397,4.04286393720826
11,-14.188008675234748,4.0510633357263375
12,-14.187050932118531,4.065596577422012
13,-14.187816658109039,4.074969118307351
14,-14.187204059762339,4.088365584673125
15,-14.187694448854476,4.098426568348905
16,-14.187301665236905,4.111038831978288
17,-14.187616439440685,4.1214762421353885
18,-14.187364053983453,4.133521882554812
19,-14.187566512369,4.144132417796937
20,-14.18740403200079,4.155744604861891
21,-14.187534483098652,4.166393917840753
22,-14.187429706346249,4.177652976220509
23,-14.187513892699435,4.188250828404469
24,-14.187446227117608,4.199204037853274
25,-14.187500631470781,4.209688695912252
26,-14.187456876230154,4.220362771229279
27,-14.187492076703585,4.2306911592682495
28,-14.187463750990958,4.241100148671791
29,-14.187486550184598,4.251241602351209
30,-14.18746819506234,4.2613919021587305
31,-14.187482975507567,4.271324186313763
32,-14.18747107120661,4.28121773063154
33,-14.187480660807417,4.290924484471886
34,-14.187472934501706,4.300560773736075
35,-14.187479160554659,4.3100298590913395
36,-14.187474142695525,4.319407245977373
37,-14.187478187377158,4.328629668095898
38,-14.187474926711797,4.337746166058496
39,-14.187477555648888,4.346715358020888
40,-14.187475435811399,4.3555691414884965
41,-14.187477145314663,4.364280479806322
42,-14.18747576658505,4.372870184318054
43,-14.187476878642208,4.381320651651846
44,-14.187475981603486,4.3896455437110555
45,-14.187476705253825,4.397833485325684
46,-14.187476121435857,4.405893547206793
47,-14.187476592472859,4.4138184873063375
48,-14.187476212406526,4.421614446344144
49,-14.187476519088786,4.429276942876265
50,-14.187476271608277,4.436810264661665
51,-14.187476471325159,4.444211789124465
52,-14.18747631014617,4.451484647493191
53,-14.187476440229169,4.458627481342662
54,-14.187476335238728,4.465642713787424
55,-14.187476419979975,4.472529856265053
56,-14.187476351580196,4.479290910609094
57,-14.18747640679152,4.485925994847209
58,-14.187476362224427,4.492436871168137
59,-14.187476398200374,4.498824086708394
