t,state,attacker_action,defender_action,UD,UA,SAP,SAL,DC,ASSC,NC,AIC,AS_success,is_absorbing,power_W,q_vec,p_vec,td_loss,entropy
0,S0,lateral_ssh,microseg_acl,-14.180866004594137,9.990238096254856,0.0,3.941385285229894,4.2161689813631895,2.024738882417838,0.4666912165275128,1.228117054563319,1,0,,"[0.33631374436919037, 0.31495226708800017, 0.34873398854280946]","[0.3325843379199969, 0.326835816907796, 0.3405798451722071]",,
1,S0,lateral_ssh,microseg_acl,-14.192707990218324,9.976279877188723,0.0,3.918090699128716,4.228010966987377,2.031527994858539,0.46495497727029744,1.2322480376051939,1,0,,"[0.33343796549649196, 0.32968080351848206, 0.336881230985026]","[0.33174503563628305, 0.3203718758186621, 0.34788308854505495]",,
2,S0,lateral_ssh,microseg_acl,-14.18333138121237,10.01695135898629,0.0,3.9579717893641067,4.218634357981421,2.0261587096370715,0.46631693870727775,1.2289730018624168,1,0,,"[0.33611119599130024, 0.3178729408776224, 0.34601586313107735]","[0.33081301785159134, 0.3139623767928911, 0.3552246053555177]",,
3,S0,lateral_ssh,microseg_acl,-14.190763964162564,10.01442689682174,0.0,3.9478679282780256,4.226066940931614,2.03040990758914,0.4652471257533332,1.2315721471696965,1,0,,"[0.3336898691893751, 0.32734386750253025, 0.3389662633080947]","[0.3297915763903675, 0.30759471937765437, 0.3626137042319782]",,
4,S0,lateral_ssh,microseg_acl,-14.184866187601855,10.04612777273066,0.0,3.9773416226752474,4.22016916437091,2.0270402959917706,0.466088572387368,1.229507344152632,1,0,,"[0.33584167212152266, 0.31974392313493233, 0.34441440474354496]","[0.32868013626065845, 0.30128383069560977, 0.37003603304373184]",,
5,S0,lateral_ssh,microseg_acl,-14.189550794434503,10.050681346710034,0.0,3.975402526102261,4.224853771203556,2.029713942278966,0.46542588664562323,1.231149225709129,1,0,,"[0.3339569829125321, 0.32584509139291923, 0.3401979256945487]","[0.32748101087412435, 0.29502186528018165, 0.37749712384569406]",,
6,S0,lateral_ssh,microseg_acl,-14.185826226940138,10.076773131874173,0.0,3.9983707892108917,4.2211292037091885,2.0275903783114577,0.46594844708627303,1.2298424478756123,1,0,,"[0.3355889555631137, 0.32094517439767006, 0.3434658700392162]","[0.3261947305727195, 0.28881952783105663, 0.3849857415962239]",,
7,S0,lateral_ssh,microseg_acl,-14.188790225670136,10.08571397850184,0.0,4.001496739717806,4.224093202439186,2.0292786627709187,0.46553587689734754,1.2308834225351304,1,0,,"[0.33418875637105067, 0.3248818229934181, 0.34092942063553117]","[0.32482316713191, 0.28267221792153663, 0.3925046149465534]",,
8,S0,lateral_ssh,microseg_acl,-14.186429413994492,10.1082597981136,0.0,4.020359448410774,4.221732390763544,2.027935197735214,0.4658619952931166,1.2300534973188952,1,0,,"[0.3353810661116495, 0.3217179690257674, 0.3429009648625832]","[0.3233675238797669, 0.2765876775454149, 0.40004479857481823]",,
9,S0,lateral_ssh,microseg_acl,-14.188311362541228,10.119912067728038,0.0,4.026624835589598,4.223614339310279,2.029005211288306,0.4656039167336673,1.2307156839368583,1,0,,"[0.33437214180627317, 0.3242615658541028, 0.341366292339624]","[0.3218295323164772, 0.2705634585081295, 0.4076070091753933]",,
10,S0,lateral_ssh,microseg_acl,-14.186809952205397,10.140181676975496,0.0,4.04286393720826,4.2221129289744495,2.0281522756827304,0.4658083776089885,1.2301869379654644,1,0,,"[0.33522137220869475, 0.3222160024819829, 0.34256262530932247]","[0.32021081555449565, 0.26460523364294447, 0.4151839508025599]",,
11,S0,lateral_ssh,microseg_acl,-14.188008675234748,10.153492160254437,0.0,4.0510633357263375,4.2233116520038,2.028832715050835,0.4656462219021298,1.2306094333721898,1,0,,"[0.33450978291557115, 0.3238615169354419, 0.341628700148987]","[0.31851312421899036, 0.2587119375397493, 0.42277493824126033]",,
12,S0,lateral_ssh,microseg_acl,-14.187050932118531,10.172267783810547,0.0,4.065596577422012,4.222353908887584,2.028289475527272,0.46577495783304057,1.2302716108111105,1,0,,"[0.33510372526263094, 0.32253746094949104, 0.3423588137878781]","[0.31673835369476466, 0.2528877926621631, 0.4303738536430723]",,
13,S0,lateral_ssh,microseg_acl,-14.187816658109039,10.186567747666874,0.0,4.074969118307351,4.22311963487809,2.0287234907399117,0.465672653398267,1.2305419014774626,1,0,,"[0.3346096483242168, 0.32360312215013676, 0.34178722952564644]","[0.3148883495132146, 0.24713258555404957, 0.4379790649327359]",,
14,S0,lateral_ssh,microseg_acl,-14.187204059762339,10.20433046611821,0.0,4.088365584673125,4.222507036531391,2.0283765034237886,0.46575402968381285,1.2303255131961781,1,0,,"[0.3350194429047625, 0.3227452296856723, 0.3422353274095652]","[0.31296519247331717, 0.24144950935013587, 0.445585298176547]",,
15,S0,lateral_ssh,microseg_acl,-14.187694448854476,10.219190181854621,0.0,4.098426568348905,4.222997425623529,2.0286540917496145,0.4656892421243007,1.2304988464284765,1,0,,"[0.3346804310646053, 0.3234360110733865, 0.3418835578620082]","[0.3109708508179846, 0.23583884225100465, 0.4531903069310108]",,
16,S0,lateral_ssh,microseg_acl,-14.187301665236905,10.23623423586342,0.0,4.111038831978288,4.222604642005956,2.028431887591641,0.4657408668226744,1.2303599276188315,1,0,,"[0.33496024680764314, 0.3228796764602241, 0.3421600767321329]","[0.3089075376375704, 0.23030303093978888, 0.4607894314226408]",,
17,S0,lateral_ssh,microseg_acl,-14.187616439440685,10.251373600012732,0.0,4.1214762421353885,4.222919416209733,2.028609859539406,0.4656996971309203,1.2304713205674123,1,0,,"[0.3347297578115714, 0.3233278159541841, 0.3419424262342446]","[0.3067773450576214, 0.22484260421035998, 0.46838005073201866]",,
18,S0,lateral_ssh,microseg_acl,-14.187364053983453,10.267876924042179,0.0,4.133521882554812,4.222667030752507,2.028467238071382,0.46573255460974167,1.230381957371636,1,0,,"[0.3349192735596835, 0.32296676671889174, 0.3421139597214247]","[0.30458258342501165, 0.21945945083169993, 0.4759579657432884]",,
19,S0,lateral_ssh,microseg_acl,-14.187566512369,10.283110230639029,0.0,4.144132417796937,4.222869489138052,2.028581588662826,0.46570631181239963,1.2304536792327405,1,0,,"[0.33476369824776203, 0.3232576980265474, 0.3419786037256906]","[0.3023254558171319, 0.21415419123325594, 0.48352035294961215]",,
20,S0,lateral_ssh,microseg_acl,-14.18740403200079,10.299178240005405,0.0,4.155744604861891,4.222707008769843,2.028489861304914,0.46572728616001513,1.230396092239684,1,0,,"[0.3348912271632253, 0.32302323174453784, 0.3420855410922369]","[0.3000083440951007, 0.20892828161308805, 0.49106337429181124]",,
21,S0,lateral_ssh,microseg_acl,-14.187534483098652,10.314379869895443,0.0,4.166393917840753,4.222837459867704,2.028563474167977,0.46571051153175014,1.2304423480151794,1,0,,"[0.33478682428035, 0.3232122186238142, 0.3420009570958358]","[0.29763354247349694, 0.20378233103448806, 0.498584126492015]",,
22,S0,lateral_ssh,microseg_acl,-14.187429706346249,10.33007280076604,0.0,4.177652976220509,4.222732683115301,2.0285043737036417,0.46572393570801773,1.2304051803271217,1,0,,"[0.33487219475317265, 0.32305986950601406, 0.3420679357408134]","[0.2952034831507271, 0.1987174468595986, 0.5060790699896743]",,
23,S0,lateral_ssh,microseg_acl,-14.187513892699435,10.345155795879958,0.0,4.188250828404469,4.2228168694684864,2.0285518414961663,0.4657131864761538,1.2304350556783445,1,0,,"[0.33480246096775856, 0.3231826986052291, 0.34201484042701247]","[0.29272052885672256, 0.1937341616710232, 0.5135453094722543]",,
