episods,GA1,GA2,GA3,GD1,GD2,GD3
1,0.3333,0.3333,0.3333,0.333333333,0.333333333,0.333333333
2,0.3529,0.3133,0.3338,0.341109559,0.325563489,0.333326952
3,0.3725,0.2941,0.3334,0.348948659,0.317852536,0.333198806
4,0.3920,0.2756,0.3324,0.356846963,0.310204434,0.332948603
5,0.4114,0.2580,0.3306,0.364800666,0.30262309,0.332576245
6,0.4306,0.2411,0.3283,0.372805826,0.295112347,0.332081827
7,0.4495,0.2251,0.3254,0.380858377,0.287675977,0.331465646
8,0.4682,0.2099,0.3219,0.388954133,0.280317666,0.330728201
9,0.4865,0.1956,0.3179,0.397088798,0.273041004,0.329870198
10,0.5045,0.1820,0.3136,0.405257974,0.26584948,0.328892546
11,0.5220,0.1692,0.3088,0.413457177,0.258746462,0.327796361
12,0.5392,0.1571,0.3037,0.421681845,0.251735193,0.326582962
13,0.5559,0.1458,0.2983,0.429927351,0.244818781,0.325253868
14,0.5721,0.1352,0.2926,0.438189017,0.238000187,0.323810796
15,0.5879,0.1253,0.2868,0.446462131,0.231282217,0.322255651
16,0.6032,0.1160,0.2807,0.454741956,0.224667516,0.320590528
17,0.6181,0.1074,0.2746,0.463023744,0.21815856,0.318817696
18,0.6324,0.0993,0.2683,0.471302757,0.211757647,0.316939596
19,0.6463,0.0918,0.2619,0.47957427,0.205466899,0.314958831
20,0.6597,0.0848,0.2555,0.487833595,0.199288249,0.312878156
21,0.6726,0.0783,0.2491,0.496076088,0.193223445,0.310700468
22,0.6851,0.0723,0.2427,0.504297162,0.187274043,0.308428796
23,0.6971,0.0667,0.2362,0.512492302,0.181441409,0.30606629
24,0.7086,0.0615,0.2299,0.520657074,0.175726716,0.30361621
25,0.7198,0.0567,0.2235,0.528787138,0.170130946,0.301081916
26,0.7305,0.0523,0.2173,0.536878255,0.164654891,0.298466853
27,0.7408,0.0482,0.2111,0.5449263,0.159299157,0.295774543
28,0.7507,0.0444,0.2050,0.552927267,0.154064161,0.293008572
29,0.7602,0.0409,0.1990,0.560877281,0.148950142,0.290172577
30,0.7693,0.0376,0.1930,0.5687726,0.143957162,0.287270238
31,0.7781,0.0346,0.1873,0.576609625,0.13908511,0.284305264
32,0.7865,0.0319,0.1816,0.584384906,0.134333709,0.281281385
33,0.7946,0.0293,0.1760,0.592095141,0.129702521,0.278202338
34,0.8024,0.0270,0.1706,0.599737187,0.125190955,0.275071858
35,0.8099,0.0248,0.1653,0.607308058,0.12079827,0.271893672
36,0.8170,0.0229,0.1601,0.614804928,0.116523588,0.268671484
37,0.8239,0.0210,0.1551,0.622225136,0.112365895,0.265408969
38,0.8305,0.0193,0.1502,0.629566183,0.108324052,0.262109765
39,0.8369,0.0178,0.1454,0.636825734,0.104396803,0.258777464
40,0.8429,0.0163,0.1407,0.644001615,0.10058278,0.255415605
41,0.8488,0.0150,0.1362,0.651091818,0.096880513,0.252027668
42,0.8544,0.0138,0.1318,0.658094494,0.093288438,0.248617068
43,0.8598,0.0127,0.1275,0.665007953,0.089804903,0.245187144
44,0.8650,0.0117,0.1234,0.671830662,0.086428174,0.241741164
45,0.8699,0.0107,0.1193,0.678561241,0.083156449,0.23828231
46,0.8747,0.0099,0.1154,0.685198462,0.079987859,0.234813679
47,0.8793,0.0091,0.1116,0.691741242,0.076920477,0.231338281
48,0.8837,0.0083,0.1080,0.698188643,0.073952326,0.227859031
49,0.8879,0.0077,0.1044,0.704539864,0.071081386,0.22437875
50,0.8920,0.0070,0.1010,0.710794241,0.0683056,0.220900159
51,0.8959,0.0065,0.0976,0.716951239,0.065622877,0.217425885
52,0.8997,0.0059,0.0944,0.723010447,0.063031105,0.213958448
