state,case,dominant_strategy,iteration,probability
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,1,0.8
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,2,0.8055089212679091
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,3,0.8108846572815804
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,4,0.8161290131625888
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,5,0.8212438600384999
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,6,0.8262311274189047
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,7,0.8310927962462569
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,8,0.8358308925414687
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,9,0.8404474815687623
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,10,0.8449446624506302
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,11,0.8493245631712559
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,12,0.8535893359147717
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,13,0.8577411526928364
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,14,0.8617822012238174
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,15,0.8657146810331137
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,16,0.8695407997506731
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,17,0.8732627695874645
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,18,0.8768828039774967
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,19,0.8804031143759801
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,20,0.8838259072074195
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,21,0.8871533809598844
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,22,0.8903877234235169
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,23,0.8935311090725807
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,24,0.896585696591115
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,25,0.899553626542649
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,26,0.9024370191844754
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,27,0.9052379724268245
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,28,0.9079585599369118
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,29,0.9106008293873629
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,30,0.9131668008479653
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,31,0.9156584653191002
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,32,0.9180777834046121
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,33,0.9204266841212856
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,34,0.9227070638415501
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,35,0.9249207853655267
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,36,0.9270696771180835
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,37,0.9291555324661764
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,38,0.9311801091514318
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,39,0.9331451288326581
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,40,0.9350522767327841
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,41,0.9369032013845721
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,42,0.9386995144693764
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,43,0.9404427907431808
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,44,0.9421345680441597
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,45,0.9437763473760646
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,46,0.9453695930618229
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,47,0.9469157329618624
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,48,0.948416158751817
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,49,0.9498722262544401
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,50,0.9512852558207437
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,51,0.9526565327555766
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,52,0.9539873077830712
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,53,0.9552787975476087
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,54,0.956532185146174
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,55,0.9577486206882018
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,56,0.9589292218792399
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,57,0.9600750746249822
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,58,0.9611872336524474
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,59,0.9622667231452916
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,60,0.9633145373904619
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,61,0.964331641433598
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,62,0.9653189717407878
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,63,0.9662774368644745
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,64,0.9672079181114932
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,65,0.9681112702113865
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,66,0.9689883219833184
