omega,iteration,??=0.2,dominant_strategy,,,,??=0.5,,,,,??=0.9,
0.2,1,0.333333333,ASD1_IPHop,,0.5,1,0.333333333,ASD1_IPHop,,0.9,1,0.333333333,ASD1_IPHop
0.2,2,0.336708221,ASD1_IPHop,,0.5,2,0.338797714,ASD1_IPHop,,0.9,2,0.346117635,ASD1_IPHop
0.2,3,0.340093525,ASD1_IPHop,,0.5,3,0.344292853,ASD1_IPHop,,0.9,3,0.35913036,ASD1_IPHop
0.2,4,0.343488896,ASD1_IPHop,,0.5,4,0.34981741,ASD1_IPHop,,0.9,4,0.372344375,ASD1_IPHop
0.2,5,0.346893981,ASD1_IPHop,,0.5,5,0.355370021,ASD1_IPHop,,0.9,5,0.385732993,ASD1_IPHop
0.2,6,0.350308423,ASD1_IPHop,,0.5,6,0.360949296,ASD1_IPHop,,0.9,6,0.399269009,ASD1_IPHop
0.2,7,0.353731865,ASD1_IPHop,,0.5,7,0.36655382,ASD1_IPHop,,0.9,7,0.41292495,ASD1_IPHop
0.2,8,0.357163948,ASD1_IPHop,,0.5,8,0.372182157,ASD1_IPHop,,0.9,8,0.426673329,ASD1_IPHop
0.2,9,0.360604309,ASD1_IPHop,,0.5,9,0.377832849,ASD1_IPHop,,0.9,9,0.440486849,ASD1_IPHop
0.2,10,0.364052585,ASD1_IPHop,,0.5,10,0.383504419,ASD1_IPHop,,0.9,10,0.454338592,ASD1_IPHop
0.2,11,0.367508409,ASD1_IPHop,,0.5,11,0.389195369,ASD1_IPHop,,0.9,11,0.468202185,ASD1_IPHop
0.2,12,0.370971415,ASD1_IPHop,,0.5,12,0.394904185,ASD1_IPHop,,0.9,12,0.482051949,ASD1_IPHop
0.2,13,0.374441235,ASD1_IPHop,,0.5,13,0.400629339,ASD1_IPHop,,0.9,13,0.495863036,ASD1_IPHop
0.2,14,0.377917498,ASD1_IPHop,,0.5,14,0.406369287,ASD1_IPHop,,0.9,14,0.50961155,ASD1_IPHop
0.2,15,0.381399835,ASD1_IPHop,,0.5,15,0.412122473,ASD1_IPHop,,0.9,15,0.523274661,ASD1_IPHop
0.2,16,0.384887873,ASD1_IPHop,,0.5,16,0.41788733,ASD1_IPHop,,0.9,16,0.536830691,ASD1_IPHop
0.2,17,0.388381241,ASD1_IPHop,,0.5,17,0.423662284,ASD1_IPHop,,0.9,17,0.5502592,ASD1_IPHop
0.2,18,0.391879565,ASD1_IPHop,,0.5,18,0.42944575,ASD1_IPHop,,0.9,18,0.563541046,ASD1_IPHop
0.2,19,0.395382473,ASD1_IPHop,,0.5,19,0.435236142,ASD1_IPHop,,0.9,19,0.576658434,ASD1_IPHop
0.2,20,0.398889592,ASD1_IPHop,,0.5,20,0.441031867,ASD1_IPHop,,0.9,20,0.589594955,ASD1_IPHop
0.2,21,0.402400547,ASD1_IPHop,,0.5,21,0.446831333,ASD1_IPHop,,0.9,21,0.6023356,ASD1_IPHop
0.2,22,0.405914966,ASD1_IPHop,,0.5,22,0.452632945,ASD1_IPHop,,0.9,22,0.614866768,ASD1_IPHop
0.2,23,0.409432476,ASD1_IPHop,,0.5,23,0.458435113,ASD1_IPHop,,0.9,23,0.627176263,ASD1_IPHop
0.2,24,0.412952704,ASD1_IPHop,,0.5,24,0.464236248,ASD1_IPHop,,0.9,24,0.639253273,ASD1_IPHop
0.2,25,0.416475279,ASD1_IPHop,,0.5,25,0.47003477,ASD1_IPHop,,0.9,25,0.651088342,ASD1_IPHop
0.2,26,0.419999828,ASD1_IPHop,,0.5,26,0.475829103,ASD1_IPHop,,0.9,26,0.662673334,ASD1_IPHop
0.2,27,0.423525983,ASD1_IPHop,,0.5,27,0.481617683,ASD1_IPHop,,0.9,27,0.674001385,ASD1_IPHop
0.2,28,0.427053373,ASD1_IPHop,,0.5,28,0.487398957,ASD1_IPHop,,0.9,28,0.685066853,ASD1_IPHop
0.2,29,0.43058163,ASD1_IPHop,,0.5,29,0.493171384,ASD1_IPHop,,0.9,29,0.695865258,ASD1_IPHop
